valid_time,latitude,longitude,t2m,u10,v10,number,expver,ssrd,temp_C,wind_speed
2025-09-01 01:00:00,41.25,-73.75,292.0288,-0.5565338,-1.3639984,0,0001,0.0,18.878815,1.4731672
2025-09-01 01:00:00,41.25,-73.5,291.9253,-0.2518463,0.4113922,0,0001,0.0,18.7753,0.48235893
2025-09-01 01:00:00,41.25,-73.25,292.3667,-0.12098694,1.7395172,0,0001,0.0,19.216705,1.7437196
2025-09-01 01:00:00,41.25,-73.0,293.39404,-0.15614319,2.6086578,0,0001,0.0,20.24405,2.6133268
2025-09-01 01:00:00,41.0,-74.5,291.19287,-1.0487213,-1.2028656,0,0001,0.0,18.042877,1.595839
2025-09-01 01:00:00,41.0,-74.25,292.41162,-1.0008698,-0.8044281,0,0001,0.0,19.261627,1.2840735
2025-09-01 01:00:00,41.0,-74.0,292.771,-0.8358307,-0.16868591,0,0001,0.0,19.621002,0.85268277
2025-09-01 01:00:00,41.0,-73.75,292.62842,-0.7254791,0.6613922,0,0001,0.0,19.478424,0.98171264
2025-09-01 01:00:00,41.0,-73.5,292.35303,-0.40711975,1.4553375,0,0001,0.0,19.203033,1.5112094
2025-09-01 01:00:00,41.0,-73.25,292.42334,-0.42860413,1.5471344,0,0001,0.0,19.273346,1.6054053
2025-09-01 01:00:00,41.0,-73.0,293.28076,-0.50379944,2.2854156,0,0001,0.0,20.130768,2.340286
2025-09-01 01:00:00,40.75,-74.5,291.54443,-1.4295807,0.33717346,0,0001,0.0,18.39444,1.4688046
2025-09-01 01:00:00,40.75,-74.25,292.80225,-0.926651,0.7317047,0,0001,0.0,19.652252,1.1807091
2025-09-01 01:00:00,40.75,-74.0,293.16357,-0.7606354,1.3694,0,0001,0.0,20.01358,1.5664682
2025-09-01 01:00:00,40.75,-73.75,293.12256,-0.7020416,1.5354156,0,0001,0.0,19.972565,1.688302
2025-09-01 01:00:00,40.75,-73.5,293.2046,-0.7811432,1.7160797,0,0001,0.0,20.054596,1.885501
2025-09-01 01:00:00,40.75,-73.25,293.26514,-0.8221588,1.7873688,0,0001,0.0,20.115143,1.9673922
2025-09-01 01:00:00,40.75,-73.0,293.12646,-1.3387604,1.2932281,0,0001,0.0,19.97647,1.8613753
2025-09-01 01:00:00,40.5,-74.5,292.12256,-1.8143463,1.2365875,0,0001,0.0,18.972565,2.1956778
2025-09-01 01:00:00,40.5,-74.25,292.7124,-1.0370026,1.4192047,0,0001,0.0,19.562408,1.757702
2025-09-01 01:00:00,40.5,-74.0,293.41357,-1.0399323,1.501236,0,0001,0.0,20.26358,1.8262444
2025-09-01 01:00:00,40.5,-73.75,293.396,-0.9911041,1.6233063,0,0001,0.0,20.246002,1.9019492
2025-09-01 01:00:00,40.5,-73.5,293.78076,-1.4666901,1.6828766,0,0001,0.0,20.630768,2.2323203
2025-09-01 01:00:00,40.5,-73.25,293.7163,-1.9168854,1.1897125,0,0001,0.0,20.566315,2.256073
2025-09-01 01:00:00,40.5,-73.0,293.5796,-2.43544,0.6926422,0,0001,0.0,20.429596,2.5320191
2025-09-01 02:00:00,41.5,-74.5,289.40845,0.045333862,-1.6998901,0,0001,0.0,16.258453,1.7004945
2025-09-01 02:00:00,41.5,-74.25,290.26587,-0.14411926,-1.782898,0,0001,0.0,17.115875,1.7887133
2025-09-01 02:00:00,41.5,-74.0,290.73462,-0.34431458,-1.8776245,0,0001,0.0,17.584625,1.9089333
2025-09-01 02:00:00,41.5,-73.75,290.89087,-0.515213,-2.0475464,0,0001,0.0,17.740875,2.1113718
2025-09-01 02:00:00,41.5,-73.5,290.4436,-0.30134583,-1.3834839,0,0001,0.0,17.29361,1.4159226
2025-09-01 02:00:00,41.5,-73.25,290.15454,-0.06892395,0.05596924,0,0001,0.0,17.004547,0.08878663
2025-09-01 02:00:00,41.5,-73.0,289.98267,-0.09724426,1.5110474,0,0001,0.0,16.832672,1.5141733
2025-09-01 02:00:00,41.25,-74.5,289.70923,-0.6665802,-1.798523,0,0001,0.0,16.559235,1.9180756
2025-09-01 02:00:00,41.25,-74.25,290.51978,-0.515213,-1.2887573,0,0001,0.0,17.369781,1.3879265
2025-09-01 02:00:00,41.25,-74.0,290.98267,-0.6958771,-1.3092651,0,0001,0.0,17.832672,1.482707
2025-09-01 02:00:00,41.25,-73.75,291.2229,-0.7212677,-0.776062,0,0001,0.0,18.072906,1.0594807
2025-09-01 02:00:00,41.25,-73.5,291.29907,-0.45173645,0.70440674,0,0001,0.0,18.149078,0.8368122
2025-09-01 02:00:00,41.25,-73.25,291.6643,-0.27400208,1.8743286,0,0001,0.0,18.514313,1.8942505
2025-09-01 02:00:00,41.25,-73.0,292.70923,-0.3511505,2.5022583,0,0001,0.0,19.559235,2.5267773
2025-09-01 02:00:00,41.0,-74.5,289.47876,-0.9966583,-0.9303589,0,0001,0.0,16.328766,1.3634132
